cells,samples,cell.types,treatment.group,Cohort,no.of.genes,no.of.reads,genes_detected_counts,n_counts
cy129PB_CD45pos_S193,Mel129pb,Macrophage,treatment.naive,New,7986,665927,7813,14888.709972932069
CY88CD45_150813_B07_S307_comb,Mel88,T.CD4,post.treatment,Tirosh,3784,247411,3586,9417.103931121223
cy103_CD45pos_S240,Mel103,Macrophage,treatment.naive,New,8509,143582,8349,18620.8172089572
cy102_CD45pos_S270,Mel102,Macrophage,post.treatment,New,5186,583298,5003,10399.657372391788
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_B11_S407_comb,Mel79,T.CD8,treatment.naive,Tirosh,3472,90167,3239,9436.374039421606
cy94_cd45neg_cd90pos_C05_S317_comb,Mel94,?,post.treatment,Tirosh,3859,134435,3630,11063.098384036135
cy128_CD45pos_S156,Mel128,B.cell,treatment.naive,New,3022,344027,2845,5835.141851447952
cy75_1B_CD45pos_S61,Mel75,T.CD4,post.treatment,New,4361,689638,4187,7919.895334058131
CY89A_Core_15_B05_S17_comb,Mel89,T.CD4,treatment.naive,Tirosh,6964,582263,6740,14328.473524587871
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_G12_S276_comb,Mel79,T.CD8,treatment.naive,Tirosh,3128,31416,2984,10430.205250240819
cy98_CD45pos_2_S317,Mel98,T.CD8,post.treatment,New,3563,408924,3372,7442.520649608535
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H10_S1054_comb,Mel60,B.cell,post.treatment,Tirosh,2178,134659,1985,5229.1467362169315
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_G04_S1036_comb,Mel60,B.cell,post.treatment,Tirosh,2310,105534,2106,6216.51755923299
cy129PA_CD45pos_S89,Mel129pa,Macrophage,treatment.naive,New,6090,732775,5913,11830.100517813287
cy102_CD45pos_S186,Mel102,B.cell,post.treatment,New,4936,768970,4761,8890.221649700385
cy79_p4_CD45_pos_PD1_pos_E09_S345_comb,Mel79,T.cell,treatment.naive,Tirosh,3561,159010,3358,9110.002925666166
Merck_CD45pos_pl4_S81,Mel194,T.CD8,post.treatment,New,4366,837336,4230,8964.869350409535
CY88CD45_150813_A01_S289_comb,Mel88,?,post.treatment,Tirosh,3822,529574,3645,5586.088884188275
cy126_CD45pos_1_S53,Mel126,Macrophage,post.treatment,New,4481,97890,4342,12339.004296216728
merck_cd45pos_PL3_S323,Mel194,T.CD8,post.treatment,New,5248,1615248,5107,10357.033331936587
cy80_Cd45_pos_PD1_pos_D09_S93_comb,Mel80,T.cell,treatment.naive,Tirosh,4541,41412,4305,12908.8703708554
Cy72_CD45_C06_S702_comb,Mel72,B.cell,post.treatment,Tirosh,3439,231243,3249,7279.512668405409
cy129PA_CD45neg_CD90neg_S167,Mel129pa,?,treatment.naive,New,2859,1325942,2684,3985.883625040934
CY88CD45_150813_F08_S356_comb,Mel88,?,post.treatment,Tirosh,3391,252680,3171,5978.137217057583
MGH00478_CD45pos_2_S377,Mel478,T.CD8,treatment.naive,New,4883,766587,4706,9893.057783529932
CY94CD45POS_1_F11_S167_comb,Mel94,B.cell,post.treatment,Tirosh,3555,75904,3356,10185.133966246929
cy105_CD45pos_calceinpos_S64,Mel105,T.CD8,treatment.naive,New,3884,562059,3692,7334.19643592666
cy105_CD45pos_calceinpos_S20,Mel105,B.cell,treatment.naive,New,1964,19004,1893,7615.228974838435
cy84_Primary_CD45_pos_G03_S459_comb,Mel84,T.CD8,treatment.naive,Tirosh,4258,288249,4048,10359.257058082447
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_B10_S502_comb,Mel79,B.cell,treatment.naive,Tirosh,2873,31843,2659,9345.381631548618
Cy81_Bulk_CD45_F08_S164_comb,Mel81,?,treatment.naive,Tirosh,2414,118395,2208,6003.4718385974875
cy75_1B_CD45pos_S78,Mel75,T.CD8,post.treatment,New,4366,348396,4209,8683.656900285672
cy81_Bulk_CD45_neg_E03_S147_comb,Mel81,Endo.,treatment.naive,Tirosh,3588,692042,3375,9120.783921711996
cy116_CD45pos_S319,Mel116,T.CD4,treatment.naive,New,3700,340041,3492,7125.129838694102
cy102_CD45pos_S148,Mel102,Macrophage,post.treatment,New,4052,72841,3877,12088.76270227812
cy60_1_cd_45_pos_3_E09_S345_comb,Mel60,T.cell,post.treatment,Tirosh,2498,61584,2308,8105.168025953791
cy79_p4_CD45_pos_PD1_pos_G09_S369_comb,Mel79,T.CD8,treatment.naive,Tirosh,3754,244133,3530,9018.474609781346
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H02_S1046_comb,Mel60,B.cell,post.treatment,Tirosh,2259,47840,2076,7873.379073170916
cy129PA_CD45pos_S39,Mel129pa,T.CD8,treatment.naive,New,3897,635765,3693,6935.845046005179
cy80_Cd45_pos_Pd1_neg_S196_A04_S196_comb,Mel80,T.CD8,treatment.naive,Tirosh,3121,42252,2888,9670.495668841957
CY94CD45POS_1_A02_S98_comb,Mel94,T.cell,post.treatment,Tirosh,2607,43861,2381,8013.095405646893
CY75_1_CD45_CD8_8__S351_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3859,222239,3667,9639.476905296924
cy80_CD45_pos_PD1_pos_E06_S150_comb,Mel80,T.CD4,treatment.naive,Tirosh,5594,167235,5394,13957.168619078922
CY88CD45_150813_H12_S384_comb,Mel88,?,post.treatment,Tirosh,10296,784469,10155,17492.333354797447
CY89FNA_G11_S275_comb,Mel89,T.CD8,treatment.naive,Tirosh,3139,152278,2928,7989.7274411134895
cy102_CD45pos_S188,Mel102,Macrophage,post.treatment,New,6606,827492,6417,12987.255271085402
cy79_p4_CD45_pos_PD1_pos_D11_S335_comb,Mel79,T.CD8,treatment.naive,Tirosh,3626,178130,3443,9440.28305908933
cy121.1_CD45pos_S300,Mel121.1,Macrophage,post.treatment,New,4099,487706,3941,7748.581162560903
cy82_CD45_pos_3_B08_S20_comb,Mel82,NK,treatment.naive,Tirosh,2724,31094,2552,9611.863408953466
cy121.1_CD45pos_S264,Mel121.1,T.cell,post.treatment,New,3394,555808,3227,6396.152563295633
cy53_1_CD45_neg_G10_S370_comb,Mel53,CAF,treatment.naive,Tirosh,4085,93225,3905,11568.58162495007
cy74_CD45_pos_A09_S681_comb,Mel74,T.CD8,post.treatment,Tirosh,4560,136030,4347,11376.670569454367
Cy74_CD45_B08_S404_comb,Mel74,B.cell,post.treatment,Tirosh,2364,138818,2158,5538.405191603089
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_F08_S548_comb,Mel79,B.cell,treatment.naive,Tirosh,2477,21189,2332,9053.99382016186
cy75_1B_CD45pos_S5,Mel75,T.CD8,post.treatment,New,3994,292506,3799,8078.656596617655
cy126_CD45pos_1_S35,Mel126,T.CD8,post.treatment,New,4497,529731,4315,9047.956292047991
cy88_cd_45_pos_H10_S478_comb,Mel88,T.cell,post.treatment,Tirosh,3161,68605,2962,10060.504618628976
Merck_CD45pos_pl4_S24,Mel194,T.CD8,post.treatment,New,5106,948643,4956,10873.17049371698
cy74_CD45_pos_C03_S699_comb,Mel74,T.CD8,post.treatment,Tirosh,1965,12896,1822,7975.506729854631
CY94CD45POS_1_E10_S154_comb,Mel94,B.cell,post.treatment,Tirosh,4139,127265,3889,10422.705719947788
cy84_Primary_CD45_pos_D10_S430_comb,Mel84,T.CD8,treatment.naive,Tirosh,3909,94575,3709,11535.2712980123
CY58_1_CD45_D06_S1002_comb,Mel58,T.CD8,post.treatment,Tirosh,2814,102796,2590,6625.914902602701
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G11_S563_comb,Mel79,B.cell,treatment.naive,Tirosh,3324,46794,3109,10268.874967278774
cy53_1_CD45_pos_2_D08_S1004_comb,Mel53,T.CD4,treatment.naive,Tirosh,4788,214948,4584,11346.775588785124
cy105_CD45pos_S284,Mel105,T.cell,treatment.naive,New,3750,246696,3542,8011.618151549403
cy75_1CORE_CD45pos_S36,Mel75,T.cell,post.treatment,New,4631,409318,4444,9139.119862365684
cy129PB_CD45pos_S243,Mel129pb,Macrophage,treatment.naive,New,3162,56486,3002,9511.051310500286
cy75_1B_CD45pos_S64,Mel75,T.CD4,post.treatment,New,4864,780476,4716,8644.192755570708
CY94CD45POS_1_H10_S190_comb,Mel94,T.CD4,post.treatment,Tirosh,2543,58782,2341,7982.507031580615
cy80_CD45_pos_PD1_pos_B11_S119_comb,Mel80,T.cell,treatment.naive,Tirosh,4772,104338,4580,13246.952700377162
cy94_cd45neg_cd90pos_H12_S384_comb,Mel94,?,post.treatment,Tirosh,8305,1309180,8133,14956.513939050204
cy72_CD45_pos_C01_S889_comb,Mel72,T.cell,post.treatment,Tirosh,3354,92447,3115,8349.65470356043
cy128_CD45pos_S125,Mel128,T.cell,treatment.naive,New,4004,801396,3819,7012.62020168932
cy74_CD45_pos_G05_S749_comb,Mel74,T.CD8,post.treatment,Tirosh,2864,33100,2719,10071.526666021371
merck_cd45pos_PL3_S290,Mel194,T.CD8,post.treatment,New,5315,924049,5167,11314.633481686578
monika_A8_S107_comb_BCD8_3,Mel75,T.CD8,post.treatment,Tirosh,5719,992681,5573,10440.581737221646
cy74_CD45_pos_E11_S731_comb,Mel74,T.CD4,post.treatment,Tirosh,2121,27270,1981,7590.630671774445
cy80_Cd45_pos_Pd1_neg_S364_H04_S364_comb,Mel80,T.CD4,treatment.naive,Tirosh,3951,83917,3734,10791.011363129712
cy102_CD45pos_S101,Mel102,B.cell,post.treatment,New,4844,699208,4714,9147.153445819235
cy82_CD45_neg_2_E02_S242_comb,Mel82,CAF,treatment.naive,Tirosh,6486,312111,6275,14269.458490121764
cy80_Cd45_pos_PD1_pos_A06_S18_comb,Mel80,T.CD4,treatment.naive,Tirosh,5019,183829,4820,12378.207361903787
CY88CD45POS_7_G05_S269_comb,Mel88,T.CD4,post.treatment,Tirosh,9469,215730,9326,22231.664211818646
Merck_CD45pos_pl4_S77,Mel194,T.CD8,post.treatment,New,4399,516112,4250,9677.473952749126
CY75_1FNA_B01_S493_comb,Mel75,T.CD8,post.treatment,Tirosh,3298,73901,3092,9933.043370163476
CY58_1_CD45_F07_S1027_comb,Mel58,T.CD8,post.treatment,Tirosh,3298,133821,3095,8863.863718274188
cy128_CD45pos_S109,Mel128,T.cell,treatment.naive,New,4244,600041,4063,6896.884148556169
cy110_CD45pos_S317,Mel110,Macrophage,post.treatment,New,5692,492671,5493,11032.353627258013
cy103_CD45neg_CD90neg_S25,Mel103,?,treatment.naive,New,1916,1046868,1773,4713.932492754007
cy94_cd45pos_F12_S168_comb,Mel94,B.cell,post.treatment,Tirosh,3656,280242,3437,7372.59346219733
Cy71_CD45_H09_S573_comb,Mel71,T.CD4,treatment.naive,Tirosh,2817,113902,2599,7422.499895633145
CY94CD45POS_1_D09_S141_comb,Mel94,T.cell,post.treatment,Tirosh,4370,167035,4127,10213.474811736032
CY88CD45POS_7_D07_S235_comb,Mel88,T.cell,post.treatment,Tirosh,5145,482039,4942,10590.94495471402
CY75_1_CD45_CD8_7__S274_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5256,343117,5094,12377.68665013166
CY75_1_CD45_CD8_8__S365_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3651,197377,3443,8987.867079114589
cy60_1_cd_45_pos_3_H02_S374_comb,Mel60,T.CD8,post.treatment,Tirosh,3335,106961,3134,9409.99161214555
cy75_1CORE_CD45pos_S30,Mel75,T.cell,post.treatment,New,4613,359373,4440,9315.800143695396
CY75_1_CD45_CD8_8__S307_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3739,143184,3517,9788.818939199722
Cy81_FNA_CD45_C04_S220_comb,Mel81,T.CD8,treatment.naive,Tirosh,3399,239458,3203,7341.823513251206
cy94_cd45pos_F10_S166_comb,Mel94,T.CD8,post.treatment,Tirosh,3824,205622,3604,8558.597603226253
cy58_1_CD45_pos_E10_S634_comb,Mel58,T.CD4,post.treatment,Tirosh,3889,84594,3689,9917.776008636763
Cy71_CD45_G10_S562_comb,Mel71,T.CD8,treatment.naive,Tirosh,3080,108897,2896,9410.567184545405
CY58_1_CD45_B03_S975_comb,Mel58,T.CD8,post.treatment,Tirosh,3545,199583,3314,8132.812658043688
cy98_CD45pos_2_S350,Mel98,Macrophage,post.treatment,New,5225,311432,5040,11301.828816101173
cy116_CD45pos_S365,Mel116,B.cell,treatment.naive,New,4220,493769,4020,7874.946332561186
Cy81_Bulk_CD45_C07_S127_comb,Mel81,?,treatment.naive,Tirosh,5967,135890,5744,14695.708805015778
CY88CD45POS_2_D03_S423_comb,Mel88,T.CD4,post.treatment,Tirosh,4131,562193,3935,7898.938013071809
Cy74_CD45_A02_S386_comb,Mel74,?,post.treatment,Tirosh,2457,143086,2244,6324.323798962603
CY94CD45POS_1_G01_S169_comb,Mel94,T.CD8,post.treatment,Tirosh,4683,511071,4490,8950.652379282772
CY75_1FNA_G12_S564_comb,Mel75,T.CD8,post.treatment,Tirosh,3675,115762,3448,9747.990855586913
cy129PA_CD45pos_S60,Mel129pa,B.cell,treatment.naive,New,3931,610979,3759,6351.030927057824
cy79_p4_CD45_pos_PD1_pos_F02_S350_comb,Mel79,T.CD8,treatment.naive,Tirosh,3580,98388,3373,8676.961143544986
CY75_1_CD45_CD8_8__S341_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4565,205694,4396,11785.742298451423
cy126_CD45pos_2_S153,Mel126,Macrophage,post.treatment,New,4431,883671,4231,9661.458081724526
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_A05_S965_comb,Mel60,B.cell,post.treatment,Tirosh,2636,56557,2455,8695.785485228009
cy75_1CORE_CD45pos_S43,Mel75,T.cell,post.treatment,New,4468,359681,4298,8898.334311874141
cy58_1_CD45_pos_A08_S584_comb,Mel58,T.CD8,post.treatment,Tirosh,4018,66649,3812,11170.36692954327
cy110_CD45pos_S277,Mel110,Macrophage,post.treatment,New,6559,1295816,6404,11466.0501265879
cy128_CD45pos_S112,Mel128,T.cell,treatment.naive,New,4394,1500214,4203,7179.081332978493
cy94_cd45pos_4_H08_S92_comb,Mel94,T.CD4,post.treatment,Tirosh,4186,397154,3960,8299.275522204265
cy112_CD45neg_CD90neg_S337,Mel112,CAF,treatment.naive,New,1912,1455404,1778,4081.0104658209034
cy129PA_CD45pos_S11,Mel129pa,T.CD8,treatment.naive,New,5676,1086345,5529,10774.505902791992
cy04.3_CD45pos_S78,Mel04.3,T.CD4,post.treatment,New,4065,731635,3875,8191.612089699608
CY75_1FNA_G09_S561_comb,Mel75,T.CD4,post.treatment,Tirosh,3653,106058,3439,9911.89893575091
cy105_CD45pos_calceinpos_S6,Mel105,T.cell,treatment.naive,New,3998,461685,3820,7971.126287047873
CY75_1_CD45_CD8_3__S181_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5892,277297,5755,14243.656310342963
CY75_1_CD45_CD8_3__S139_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3231,74327,3077,10222.32049129697
CY75_1_CD45_CD8_7__S270_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3535,215672,3310,8403.397820056827
MGH00478_CD45pos_2_S292,Mel478,T.CD4,treatment.naive,New,3233,526839,3035,5216.2125166974465
cy121.1_CD45pos_S331,Mel121.1,T.cell,post.treatment,New,4629,670270,4451,8649.99246465605
monika_C12_S120_comb_BCD8_3,Mel75,T.CD8,post.treatment,Tirosh,4790,956927,4653,8470.948561555775
cy79_p3_CD45_pos_PD1_neg_F12_S168_comb,Mel79,T.cell,treatment.naive,Tirosh,2579,58715,2394,7419.343765304713
cy126_CD45pos_2_S172,Mel126,T.CD8,post.treatment,New,4356,645948,4174,8550.319660114765
cy72_CD45_pos_C10_S898_comb,Mel72,B.cell,post.treatment,Tirosh,4212,146264,3975,9799.671086787734
cy80_Cd45_pos_PD1_pos_S138_F06_S138_comb,Mel80,T.CD4,treatment.naive,Tirosh,4522,119679,4321,12208.656200854108
cy112_CD45neg_CD90neg_S121,Mel112,CAF,treatment.naive,New,2408,3232491,2260,5860.718915321158
cy98_CD45pos_2_S323,Mel98,T.cell,post.treatment,New,3311,548216,3084,5003.793294662289
cy82_CD45_pos_3_C01_S25_comb,Mel82,?,treatment.naive,Tirosh,3945,131985,3873,9859.19545132485
CY75_1_CD45_CD8_7__S258_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5863,481906,5727,12793.7390762768
merck_cd45pos_PL3_S379,Mel194,T.CD8,post.treatment,New,4364,655629,4199,8943.92885955541
CY84_PRIM_POS_ALL_7_A07_S199_comb,Mel84,Macrophage,treatment.naive,Tirosh,8427,384345,8250,15234.036086895852
cy72_CD45_pos_C03_S891_comb,Mel72,T.CD4,post.treatment,Tirosh,4114,140151,3895,10294.248523355745
cy126_CD45pos_1_S48,Mel126,T.CD8,post.treatment,New,4830,663128,4671,9285.514765752534
cy80_Cd45_pos_PD1_pos_C01_S61_comb,Mel80,T.CD4,treatment.naive,Tirosh,4706,125981,4507,10832.458193793896
cy74_CD45_pos_G06_S750_comb,Mel74,T.CD8,post.treatment,Tirosh,3216,72232,2990,9215.184133208826
cy60_1_cd_45_pos_4_B02_S14_comb,Mel60,B.cell,post.treatment,Tirosh,3662,55530,3433,11369.318320266599
Cy72_CD45_G09_S753_comb,Mel72,?,post.treatment,Tirosh,3495,153408,3272,7673.395805630651
CY75_1_CD45_CD8_7__S226_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4324,163731,4114,11050.679417283036
Cy72_CD45_D01_S709_comb,Mel72,T.cell,post.treatment,Tirosh,2851,56806,2648,8197.165565906485
CY89FNA_A02_S194_comb,Mel89,T.CD4,treatment.naive,Tirosh,3562,160580,3320,8970.854067880306
CY75_1_CD45_CD8_8__S289_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4614,140903,4450,12351.591505215674
cy98_CD45pos_2_S302,Mel98,T.CD8,post.treatment,New,4010,509077,3854,7934.358592170032
cy53_1_CD45_neg_E02_S338_comb,Mel53,Endo.,treatment.naive,Tirosh,4511,27932,4433,14414.735966325488
monika_E1_S134_comb_BCD8_3,Mel75,T.CD8,post.treatment,Tirosh,5982,1362769,5871,10033.13322864022
Cy74_CD45_H10_S478_comb,Mel74,?,post.treatment,Tirosh,2805,21986,2563,10131.968409664405
cy103_CD45pos_S159,Mel103,T.cell,treatment.naive,New,5786,798194,5601,11675.848442621616
CY89A_Core_15_B01_S13_comb,Mel89,B.cell,treatment.naive,Tirosh,2687,65057,2486,7767.9621820892235
cy103_CD45neg_CD90neg_S14,Mel103,?,treatment.naive,New,2244,1403330,2120,5952.146683212432
cy112_CD45pos_S333,Mel112,T.CD8,treatment.naive,New,5358,1001136,5230,10130.535392425398
CY75_1_CD45_CD8_3__S106_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4438,315708,4228,10516.752753399312
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_C11_S227_comb,Mel79,T.CD8,treatment.naive,Tirosh,5148,86841,4955,14616.352006490084
cy72_CD45_pos_A05_S869_comb,Mel72,T.CD4,post.treatment,Tirosh,3371,86325,3177,9421.805806437751
cy58_1_CD45_pos_B01_S589_comb,Mel58,T.CD4,post.treatment,Tirosh,2984,53709,2787,9055.618145128828
Cy81_FNA_CD45_B12_S216_comb,Mel81,T.cell,treatment.naive,Tirosh,3380,349614,3166,6747.926419488565
CY94CD45POS_1_B10_S118_comb,Mel94,T.CD4,post.treatment,Tirosh,4407,246369,4204,10149.630252185369
cy75_1CORE_CD45pos_S48,Mel75,T.CD8,post.treatment,New,5110,472193,4912,10048.052041376875
cy129PB_CD45pos_S254,Mel129pb,Macrophage,treatment.naive,New,1856,11559,1822,7564.100931974144
cy116_CD45pos_S374,Mel116,B.cell,treatment.naive,New,3375,261288,3127,6506.552603558348
cy98_CD45neg_CD90neg_S39,Mel98,?,post.treatment,New,5577,496890,5363,9838.14689278981
cy105_CD45pos_S276,Mel105,B.cell,treatment.naive,New,5269,731758,5100,10062.79675233409
cy126_CD45pos_1_S58,Mel126,T.CD8,post.treatment,New,4331,606857,4151,8590.56869849998
cy80_Cd45_pos_Pd1_neg_S290_E02_S290_comb,Mel80,T.CD4,treatment.naive,Tirosh,3126,36781,2928,10181.27166748056
cy98_CD45pos_CD8pos_S43,Mel98,T.CD8,post.treatment,New,6024,226808,5854,12816.14525840895
cy105_CD45pos_S193,Mel105,T.CD8,treatment.naive,New,4144,262357,3956,9064.807463158559
cy102_CD45pos_S217,Mel102,Macrophage,post.treatment,New,6094,993796,5936,11209.28180895848
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_B03_S495_comb,Mel79,B.cell,treatment.naive,Tirosh,2872,28734,2700,9313.800383427953
cy53_1_CD45_pos_1_C12_S36_comb,Mel53,T.CD4,treatment.naive,Tirosh,4353,173537,4135,9851.682254814
cy105_CD45pos_S245,Mel105,NK,treatment.naive,New,4801,542600,4639,9957.472016292322
cy94_cd45pos_4_C03_S27_comb,Mel94,B.cell,post.treatment,Tirosh,3052,84305,2830,8512.62906369067
Cy74_CD45_D08_S428_comb,Mel74,B.cell,post.treatment,Tirosh,2872,104578,2654,7710.615952119608
cy72_CD45_pos_A07_S871_comb,Mel72,T.cell,post.treatment,Tirosh,3756,116362,3536,9658.216830628287
cy60_1_cd_45_pos_4_H06_S90_comb,Mel60,B.cell,post.treatment,Tirosh,4405,164240,4187,10452.887647013406
cy128_CD45pos_S145,Mel128,T.CD8,treatment.naive,New,4166,871952,4015,6725.972668487829
cy58_1_CD45_pos_G07_S655_comb,Mel58,T.CD8,post.treatment,Tirosh,3144,37688,2947,9879.89804008247
cy129PB_CD45pos_S194,Mel129pb,T.CD4,treatment.naive,New,3851,1776285,3718,5277.076830215803
cy121.1_CD45pos_S323,Mel121.1,B.cell,post.treatment,New,4725,684118,4534,8706.527126347984
CY89A_CD45_POS_6_B12_S120_comb,Mel89,T.CD8,treatment.naive,Tirosh,2125,27808,1933,7932.02513015475
cy80_Cd45_pos_PD1_pos_S164_G08_S164_comb,Mel80,T.CD8,treatment.naive,Tirosh,3541,49818,3316,11337.71684012518
CY75_1_CD45_CD8_8__S364_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3942,216861,3772,9879.624788987323
cy103_CD45neg_CD90neg_S174,Mel103,?,treatment.naive,New,2949,194504,2742,6288.575305963658
CY89A_CD45_POS_6_G02_S170_comb,Mel89,T.CD4,treatment.naive,Tirosh,3646,152557,3433,8431.83758495211
cy88_cd45pos_5_G02_S266_comb,Mel88,T.CD4,post.treatment,Tirosh,5954,1336883,5823,8963.196346487151
merck_cd45pos_PL3_S377,Mel194,T.CD8,post.treatment,New,4374,369192,4222,10117.131777298764
CY75_1_CD45_CD8_7__S228_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5357,440129,5169,12483.435309727189
cy53_1_CD45_pos_1_E12_S60_comb,Mel53,T.CD4,treatment.naive,Tirosh,3463,43142,3269,11005.343134674884
cy80_Cd45_pos_PD1_pos_S167_G11_S167_comb,Mel80,T.CD4,treatment.naive,Tirosh,5176,134065,4942,13583.907123169056
cy98_CD45pos_CD8pos_S80,Mel98,T.CD8,post.treatment,New,2599,201726,2411,6134.440826313193
cy53_1_CD45_pos_2_G05_S1037_comb,Mel53,T.CD4,treatment.naive,Tirosh,3569,95778,3325,9652.125508150351
cy110_CD45pos_S354,Mel110,Macrophage,post.treatment,New,5205,244129,5047,10793.756137662509
cy110_CD45pos_S250,Mel110,T.CD4,post.treatment,New,6204,1012576,6056,11960.971449335704
cy79_p4_CD45_pos_PD1_pos_C05_S317_comb,Mel79,T.CD8,treatment.naive,Tirosh,3977,67570,3730,11022.195841162586
CY88CD45_150813_A12_S300_comb,Mel88,?,post.treatment,Tirosh,2566,264195,2339,4358.308171543283
cy98_CD45pos_2_S342,Mel98,T.CD8,post.treatment,New,3409,310131,3189,7573.01136925496
cy75_1B_CD45pos_S43,Mel75,T.CD4,post.treatment,New,4554,483426,4366,8938.844204856041
cy102_CD45pos_S214,Mel102,B.cell,post.treatment,New,4041,321898,3810,7355.3185158762235
merck_cd45pos_PL3_S356,Mel194,T.CD4,post.treatment,New,4928,917171,4790,10112.608569060967
cy106_CD45pos_S239,Mel106,B.cell,post.treatment,New,4369,795888,4207,6812.21360393676
cy79_p5_CD45_pos_PD1_pos_G07_S655_comb,Mel79,T.CD8,treatment.naive,Tirosh,2495,47749,2350,8563.436598784796
Cy74_CD45_D06_S426_comb,Mel74,T.CD8,post.treatment,Tirosh,2645,107218,2465,7642.821636033697
CY94CD45POS_1_C07_S127_comb,Mel94,T.CD4,post.treatment,Tirosh,2906,85085,2676,7659.050931894182
CY89COREQ1_C02_S314_comb,Mel89,B.cell,treatment.naive,Tirosh,4434,251789,4208,9374.505365584253
CY89A_CD45_POS_10_C11_S227_comb,Mel89,Macrophage,treatment.naive,Tirosh,5072,182909,4834,11802.793191351486
cy103_CD45pos_S207,Mel103,B.cell,treatment.naive,New,5778,855560,5588,11411.987690989157
Cy72_CD45_C08_S704_comb,Mel72,?,post.treatment,Tirosh,3337,250558,3151,7268.704453146401
cy79_p3_CD45_pos_PD1_neg_C07_S127_comb,Mel79,B.cell,treatment.naive,Tirosh,3305,171549,3097,7433.374087119073
cy75_1CORE_CD45pos_S73,Mel75,T.CD8,post.treatment,New,4187,302602,3981,8293.26256161009
cy60_1_cd_45_pos_4_B09_S21_comb,Mel60,T.cell,post.treatment,Tirosh,3018,59246,2775,9301.783232399535
cy53_1_CD45_pos_2_B01_S973_comb,Mel53,T.CD8,treatment.naive,Tirosh,4895,193254,4679,11543.208814382246
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_H02_S278_comb,Mel79,T.CD8,treatment.naive,Tirosh,3301,36730,3111,10410.190591888419
CY75_1_CD45_CD8_3__S180_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,2720,292871,2542,7344.67050970839
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C09_S993_comb,Mel60,B.cell,post.treatment,Tirosh,2306,34050,2125,8255.485226257239
cy102_CD45pos_S260,Mel102,T.CD4,post.treatment,New,4473,697991,4295,8102.281106313756
cy80_CD45_pos_PD1_pos_B05_S113_comb,Mel80,T.CD8,treatment.naive,Tirosh,2205,16034,2096,8931.007705361357
cy128_CD45pos_S150,Mel128,T.CD4,treatment.naive,New,3684,670331,3491,6280.483478751547
cy74_CD45_pos_D08_S716_comb,Mel74,T.CD8,post.treatment,Tirosh,2686,31904,2569,9768.051720005913
CY75_1_CD45_CD8_8__S379_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3395,164640,3199,8118.683690869821
CY75_1FNA_G11_S563_comb,Mel75,T.cell,post.treatment,Tirosh,3391,58603,3156,10137.478297047412
cy82_CD45_pos_2_H12_S576_comb,Mel82,Macrophage,treatment.naive,Tirosh,4431,12102,4345,13827.827424164814
Cy74_CD45_G07_S463_comb,Mel74,T.CD8,post.treatment,Tirosh,2512,94009,2315,7221.260374883229
Cy74_CD45_D03_S423_comb,Mel74,T.CD4,post.treatment,Tirosh,2593,98008,2410,7652.314134154176
